model,task,stimulus,score
t5,sum,0,0.03
t5,sum,1,0.02
t5,sum,2,0.02
t5,sum,3,0.03
t5,sum,4,0.02
t5,sum,5,0.02
t5,sum,6,0.02
t5,sum,7,0.02
t5,sum,8,0.02
t5,sum,9,0.02
t5,sum,10,0.02
t5,sentiment,0,0.93
t5,sentiment,1,0.93
t5,sentiment,2,0.93
t5,sentiment,3,0.95
t5,sentiment,4,0.92
t5,sentiment,5,0.93
t5,sentiment,6,0.93
t5,sentiment,7,0.93
t5,sentiment,8,0.93
t5,sentiment,9,0.93
t5,sentiment,10,0.94
t5,word_in_context,0,0.59
t5,word_in_context,1,0.62
t5,word_in_context,2,0.61
t5,word_in_context,3,0.63
t5,word_in_context,4,0.61
t5,word_in_context,5,0.6
t5,word_in_context,6,0.57
t5,word_in_context,7,0.59
t5,word_in_context,8,0.6
t5,word_in_context,9,0.61
t5,word_in_context,10,0.61
